District,Year-Month,Total_Precipitation_mm,Mean_Temperature_C
Gampaha,2016-08,131.10,26.45
Gampaha,2016-09,115.50,26.19
Gampaha,2016-10,133.10,26.31
Gampaha,2016-11,321.40,25.85
Gampaha,2016-12,44.20,26.05
Gampaha,2017-01,139.10,25.99
Gampaha,2017-02,60.50,26.19
Gampaha,2017-03,156.30,26.62
Gampaha,2017-04,198.30,27.47
Gampaha,2017-05,308.20,27.08
Gampaha,2017-06,345.60,26.50
Gampaha,2017-07,263.70,26.91
Gampaha,2017-08,318.10,26.45
Gampaha,2017-09,317.10,26.06
Gampaha,2017-10,360.10,25.94
Gampaha,2017-11,433.00,25.40
Gampaha,2017-12,152.00,25.71
Gampaha,2018-01,49.50,26.24
Gampaha,2018-02,96.00,27.04
Gampaha,2018-03,148.30,26.70
Gampaha,2018-04,232.40,26.74
Gampaha,2018-05,461.90,26.26
Gampaha,2018-06,401.60,26.34
Gampaha,2018-07,147.70,26.38
Gampaha,2018-08,135.00,26.08
Gampaha,2018-09,201.70,26.48
Gampaha,2018-10,383.40,25.53
Gampaha,2018-11,352.00,25.55
Gampaha,2018-12,87.10,25.65
Gampaha,2019-01,21.10,26.77
Gampaha,2019-02,204.10,26.84
Gampaha,2019-03,72.30,27.56
Gampaha,2019-04,157.30,27.99
Gampaha,2019-05,128.40,27.59
Gampaha,2019-06,289.00,27.36
Gampaha,2019-07,181.00,26.92
Gampaha,2019-08,467.00,26.19
Gampaha,2019-09,363.10,25.88
Gampaha,2019-10,576.50,25.33
Gampaha,2019-11,391.00,25.78
Gampaha,2019-12,222.60,25.83
Gampaha,2020-01,22.10,27.05
Gampaha,2020-02,25.20,28.20
Gampaha,2020-03,76.30,28.00
Gampaha,2020-04,173.90,27.68
Gampaha,2020-05,302.90,27.50
Gampaha,2020-06,285.80,27.08
Gampaha,2020-07,269.10,26.50
Gampaha,2020-08,213.20,26.54
Gampaha,2020-09,435.60,25.82
Gampaha,2020-10,119.10,26.52
Gampaha,2020-11,398.80,26.03
Gampaha,2020-12,177.80,25.54
Gampaha,2021-01,215.30,25.42
Gampaha,2021-02,16.60,26.71
Gampaha,2021-03,225.60,26.63
Gampaha,2021-04,90.20,27.10
Gampaha,2021-05,445.00,26.85
Gampaha,2021-06,248.70,26.55
Gampaha,2021-07,275.90,26.60
Gampaha,2021-08,262.10,26.21
Gampaha,2021-09,279.60,26.32
Gampaha,2021-10,377.50,25.88
Gampaha,2021-11,573.90,25.02
Gampaha,2021-12,95.80,25.96
Gampaha,2022-01,72.20,26.30
Gampaha,2022-02,47.50,26.84
Gampaha,2022-03,56.50,27.07
Gampaha,2022-04,283.70,26.40
Gampaha,2022-05,508.00,26.44
Gampaha,2022-06,240.30,26.25
Gampaha,2022-07,137.20,26.50
Gampaha,2022-08,274.50,25.94
Gampaha,2022-09,175.50,25.94
Gampaha,2022-10,401.20,25.42
Gampaha,2022-11,283.30,25.13
Gampaha,2022-12,166.30,25.08
Gampaha,2023-01,114.30,25.18
Gampaha,2023-02,101.80,25.79
Gampaha,2023-03,179.20,26.41
Gampaha,2023-04,177.60,26.89
Gampaha,2023-05,233.40,26.94
Gampaha,2023-06,325.20,26.55
Gampaha,2023-07,254.60,26.51
Gampaha,2023-08,113.90,26.65
Gampaha,2023-09,551.00,25.51
Gampaha,2023-10,616.80,25.34
Gampaha,2023-11,509.40,25.31
Gampaha,2023-12,386.00,25.73
Gampaha,2024-01,164.60,26.01
Gampaha,2024-02,26.50,27.92
Gampaha,2024-03,83.20,28.10
Gampaha,2024-04,235.20,27.94
Gampaha,2024-05,637.40,27.25
Gampaha,2024-06,81.00,26.69
Kilinochchi[1],2010-01,38.70,25.46
Kilinochchi[1],2010-02,0.60,26.29
Kilinochchi[1],2010-03,6.40,28.29
Kilinochchi[1],2010-04,53.80,29.78
Kilinochchi[1],2010-05,33.60,29.63
Kilinochchi[1],2010-06,17.20,29.73
Kilinochchi[1],2010-07,9.50,29.19
Kilinochchi[1],2010-08,123.10,28.66
